2025-03-16 16:17:11.485888, X: 0.57, Y: 0.40, Z: 0.09
2025-03-16 16:17:11.557877, X: 0.57, Y: 0.40, Z: 0.09
2025-03-16 16:17:11.625977, X: 0.57, Y: 0.40, Z: 0.09
2025-03-16 16:17:11.683482, X: 0.56, Y: 0.40, Z: 0.09
2025-03-16 16:17:11.746096, X: 0.56, Y: 0.40, Z: 0.10
2025-03-16 16:17:11.808897, X: 0.56, Y: 0.40, Z: 0.10
2025-03-16 16:17:11.875535, X: 0.56, Y: 0.40, Z: 0.10
2025-03-16 16:17:11.933842, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.001066, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.057435, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.121881, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.183094, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.243659, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.311671, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.371327, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.433669, X: 0.54, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.495546, X: 0.54, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.563154, X: 0.54, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.621468, X: 0.54, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.680252, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:12.746036, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:12.808100, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:12.872853, X: 0.54, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.926615, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:12.992456, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:13.056897, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:13.115407, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.179126, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.238856, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.298631, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.362344, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.427159, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.488821, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.548811, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.610636, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.673512, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:13.734555, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:13.801734, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.858234, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:13.922504, X: 0.55, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.988280, X: 0.55, Y: 0.40, Z: 0.08
2025-03-16 16:17:14.047410, X: 0.55, Y: 0.40, Z: 0.09
2025-03-16 16:17:14.111785, X: 0.55, Y: 0.40, Z: 0.09
2025-03-16 16:17:14.170836, X: 0.55, Y: 0.40, Z: 0.08
2025-03-16 16:17:14.236341, X: 0.55, Y: 0.40, Z: 0.09
2025-03-16 16:17:14.292395, X: 0.55, Y: 0.40, Z: 0.07
2025-03-16 16:17:14.537898, X: 0.55, Y: 0.40, Z: 0.03
2025-03-16 16:17:14.600965, X: 0.55, Y: 0.40, Z: 0.07
2025-03-16 16:17:14.663937, X: 0.55, Y: 0.40, Z: 0.08
2025-03-16 16:17:14.725177, X: 0.54, Y: 0.40, Z: 0.07
2025-03-16 16:17:14.788382, X: 0.54, Y: 0.40, Z: 0.07
2025-03-16 16:17:14.849605, X: 0.54, Y: 0.40, Z: 0.07
2025-03-16 16:17:14.913688, X: 0.53, Y: 0.40, Z: 0.07
2025-03-16 16:17:14.971406, X: 0.53, Y: 0.40, Z: 0.07
2025-03-16 16:17:15.035128, X: 0.53, Y: 0.40, Z: 0.07
2025-03-16 16:17:15.096548, X: 0.52, Y: 0.40, Z: 0.07
2025-03-16 16:17:15.155582, X: 0.52, Y: 0.40, Z: 0.07
2025-03-16 16:17:15.220659, X: 0.52, Y: 0.40, Z: 0.07
2025-03-16 16:17:15.277999, X: 0.51, Y: 0.40, Z: 0.06
2025-03-16 16:17:15.348635, X: 0.51, Y: 0.40, Z: 0.06
2025-03-16 16:17:15.409456, X: 0.51, Y: 0.40, Z: 0.06
2025-03-16 16:17:15.468886, X: 0.51, Y: 0.40, Z: 0.06
2025-03-16 16:17:15.529260, X: 0.50, Y: 0.40, Z: 0.06
2025-03-16 16:17:15.599746, X: 0.50, Y: 0.40, Z: 0.05
2025-03-16 16:17:15.657868, X: 0.50, Y: 0.40, Z: 0.05
2025-03-16 16:17:15.711798, X: 0.50, Y: 0.40, Z: 0.05
2025-03-16 16:17:15.795393, X: 0.50, Y: 0.40, Z: 0.05
2025-03-16 16:17:15.850247, X: 0.49, Y: 0.40, Z: 0.05
2025-03-16 16:17:15.916333, X: 0.49, Y: 0.40, Z: 0.04
2025-03-16 16:17:15.974407, X: 0.49, Y: 0.40, Z: 0.04
2025-03-16 16:17:16.039689, X: 0.49, Y: 0.40, Z: 0.04
2025-03-16 16:17:16.102122, X: 0.49, Y: 0.40, Z: 0.04
2025-03-16 16:17:16.160329, X: 0.49, Y: 0.40, Z: 0.03
2025-03-16 16:17:16.223052, X: 0.48, Y: 0.40, Z: 0.03
2025-03-16 16:17:16.286763, X: 0.48, Y: 0.40, Z: 0.03
2025-03-16 16:17:16.350131, X: 0.48, Y: 0.40, Z: 0.02
2025-03-16 16:17:16.407363, X: 0.48, Y: 0.40, Z: 0.02
2025-03-16 16:17:16.456890, X: 0.48, Y: 0.40, Z: 0.02
2025-03-16 16:17:16.516806, X: 0.48, Y: 0.40, Z: 0.02
2025-03-16 16:17:16.577382, X: 0.48, Y: 0.40, Z: 0.02
2025-03-16 16:17:16.643841, X: 0.47, Y: 0.40, Z: 0.01
2025-03-16 16:17:16.707452, X: 0.47, Y: 0.40, Z: 0.01
2025-03-16 16:17:16.767927, X: 0.47, Y: 0.40, Z: 0.00
2025-03-16 16:17:16.826879, X: 0.47, Y: 0.40, Z: -0.00
2025-03-16 16:17:16.893433, X: 0.47, Y: 0.40, Z: -0.01
2025-03-16 16:17:16.949458, X: 0.47, Y: 0.40, Z: -0.00
2025-03-16 16:17:17.011728, X: 0.47, Y: 0.40, Z: -0.01
2025-03-16 16:17:17.077379, X: 0.47, Y: 0.40, Z: -0.02
2025-03-16 16:17:17.133565, X: 0.47, Y: 0.40, Z: -0.02
