2025-03-16 16:37:28.877899, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:28.935319, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:28.989695, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.046637, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.106792, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.167024, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.232849, X: 0.48, Y: 0.40, Z: 0.03
2025-03-16 16:37:29.304560, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.373586, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.433712, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.513588, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.573511, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.637511, X: 0.48, Y: 0.40, Z: 0.03
2025-03-16 16:37:29.700928, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.763867, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.830951, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.887695, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:29.947069, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:30.007255, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:30.068055, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:30.128089, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:30.190337, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:30.241197, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:30.301980, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:30.362083, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:30.424301, X: 0.48, Y: 0.40, Z: 0.03
2025-03-16 16:37:30.488109, X: 0.48, Y: 0.40, Z: 0.03
2025-03-16 16:37:30.844073, X: 0.48, Y: 0.40, Z: 0.01
2025-03-16 16:37:30.901025, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:30.947777, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:30.997944, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.057582, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.120236, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.182608, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.241224, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.293868, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.355727, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.415977, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.460982, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.508383, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.554750, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.601640, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.661767, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.713290, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.772407, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.818236, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.865443, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.926169, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:31.989941, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:32.056637, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:32.140629, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:32.199422, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:32.255974, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:37:32.315301, X: 0.47, Y: 0.40, Z: 0.04
2025-03-16 16:37:32.363811, X: 0.47, Y: 0.40, Z: 0.03
2025-03-16 16:37:32.426177, X: 0.47, Y: 0.40, Z: 0.03
2025-03-16 16:37:32.488628, X: 0.46, Y: 0.40, Z: 0.03
2025-03-16 16:37:32.552274, X: 0.46, Y: 0.40, Z: 0.03
2025-03-16 16:37:32.614647, X: 0.45, Y: 0.40, Z: 0.04
2025-03-16 16:37:32.675812, X: 0.45, Y: 0.40, Z: 0.05
2025-03-16 16:37:32.740091, X: 0.44, Y: 0.40, Z: 0.05
2025-03-16 16:37:32.802769, X: 0.44, Y: 0.40, Z: 0.06
2025-03-16 16:37:32.862498, X: 0.43, Y: 0.40, Z: 0.06
2025-03-16 16:37:32.927045, X: 0.43, Y: 0.40, Z: 0.07
2025-03-16 16:37:32.988148, X: 0.42, Y: 0.40, Z: 0.07
2025-03-16 16:37:33.050094, X: 0.42, Y: 0.40, Z: 0.08
2025-03-16 16:37:33.110000, X: 0.41, Y: 0.40, Z: 0.08
2025-03-16 16:37:33.173835, X: 0.41, Y: 0.40, Z: 0.08
2025-03-16 16:37:33.234242, X: 0.41, Y: 0.40, Z: 0.08
2025-03-16 16:37:33.299788, X: 0.40, Y: 0.40, Z: 0.09
2025-03-16 16:37:33.361481, X: 0.40, Y: 0.40, Z: 0.10
2025-03-16 16:37:33.422519, X: 0.39, Y: 0.40, Z: 0.10
2025-03-16 16:37:33.484898, X: 0.39, Y: 0.40, Z: 0.10
2025-03-16 16:37:33.545130, X: 0.39, Y: 0.40, Z: 0.10
2025-03-16 16:37:33.607276, X: 0.39, Y: 0.40, Z: 0.10
2025-03-16 16:37:33.671530, X: 0.38, Y: 0.40, Z: 0.10
2025-03-16 16:37:33.732405, X: 0.38, Y: 0.40, Z: 0.09
2025-03-16 16:37:33.794086, X: 0.38, Y: 0.40, Z: 0.09
2025-03-16 16:37:33.854064, X: 0.38, Y: 0.40, Z: 0.09
2025-03-16 16:37:33.916502, X: 0.38, Y: 0.40, Z: 0.09
2025-03-16 16:37:33.964586, X: 0.39, Y: 0.40, Z: 0.09
2025-03-16 16:37:34.030642, X: 0.40, Y: 0.40, Z: 0.09
2025-03-16 16:37:34.089210, X: 0.41, Y: 0.40, Z: 0.08
2025-03-16 16:37:34.150046, X: 0.42, Y: 0.40, Z: 0.09
2025-03-16 16:37:34.214199, X: 0.43, Y: 0.40, Z: 0.10
2025-03-16 16:37:34.278319, X: 0.44, Y: 0.40, Z: 0.10
2025-03-16 16:37:34.339547, X: 0.45, Y: 0.40, Z: 0.10
2025-03-16 16:37:34.399497, X: 0.46, Y: 0.40, Z: 0.09
2025-03-16 16:37:34.462974, X: 0.47, Y: 0.40, Z: 0.09
2025-03-16 16:37:34.526376, X: 0.48, Y: 0.40, Z: 0.08
2025-03-16 16:37:34.589139, X: 0.49, Y: 0.40, Z: 0.07
2025-03-16 16:37:34.652266, X: 0.50, Y: 0.40, Z: 0.07
2025-03-16 16:37:34.711666, X: 0.51, Y: 0.40, Z: 0.08
2025-03-16 16:37:34.773904, X: 0.52, Y: 0.40, Z: 0.08
2025-03-16 16:37:34.834983, X: 0.53, Y: 0.40, Z: 0.09
2025-03-16 16:37:34.898417, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:37:34.956958, X: 0.55, Y: 0.40, Z: 0.08
2025-03-16 16:37:35.018653, X: 0.56, Y: 0.40, Z: 0.08
2025-03-16 16:37:35.066486, X: 0.55, Y: 0.40, Z: 0.08
2025-03-16 16:37:35.129623, X: 0.55, Y: 0.40, Z: 0.08
2025-03-16 16:37:35.189869, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:37:35.239739, X: 0.54, Y: 0.40, Z: 0.07
2025-03-16 16:37:35.301880, X: 0.54, Y: 0.40, Z: 0.07
2025-03-16 16:37:35.351251, X: 0.54, Y: 0.40, Z: 0.07
2025-03-16 16:37:35.407282, X: 0.54, Y: 0.40, Z: 0.07
2025-03-16 16:37:35.820189, X: 0.51, Y: 0.40, Z: 0.05
2025-03-16 16:37:35.880118, X: 0.50, Y: 0.40, Z: 0.07
2025-03-16 16:37:35.942976, X: 0.50, Y: 0.40, Z: 0.07
2025-03-16 16:37:36.009594, X: 0.50, Y: 0.40, Z: 0.07
2025-03-16 16:37:36.080790, X: 0.50, Y: 0.40, Z: 0.07
2025-03-16 16:37:36.145858, X: 0.50, Y: 0.40, Z: 0.06
2025-03-16 16:37:36.206929, X: 0.50, Y: 0.40, Z: 0.06
